,event_year,flattened_locations,category,count,Code,Country,min,max,count_norm
0,2016,AE,Law,132742,AE,United Arab Emirates,45059,428244,0.22882680689484192
1,2016,AE,Health,229811,AE,United Arab Emirates,45059,428244,0.48214830956326576
2,2016,AE,Military,428244,AE,United Arab Emirates,45059,428244,1.0
3,2016,AE,Religion,292777,AE,United Arab Emirates,45059,428244,0.6464710257447448
4,2016,AE,Violence,253357,AE,United Arab Emirates,45059,428244,0.5435964351422942
5,2016,AE,Education,352837,AE,United Arab Emirates,45059,428244,0.803209937758524
6,2016,AE,Corruption,149875,AE,United Arab Emirates,45059,428244,0.2735388911361353
7,2016,AE,Agriculture,123583,AE,United Arab Emirates,45059,428244,0.20492451426856478
8,2016,AE,Economic Policy,285312,AE,United Arab Emirates,45059,428244,0.6269895742265486
9,2016,AE,Government and Politics,407018,AE,United Arab Emirates,45059,428244,0.9446063911687566
10,2016,PL,Law,292332,PL,Poland,62099,1132900,0.21501007189944724
11,2016,PL,Health,443318,PL,Poland,62099,1132900,0.3560129286394017
12,2016,PL,Military,906895,PL,Poland,62099,1132900,0.788938374170364
13,2016,PL,Religion,516325,PL,Poland,62099,1132900,0.42419273048867157
14,2016,PL,Violence,380769,PL,Poland,62099,1132900,0.29759964736678435
15,2016,PL,Education,758973,PL,Poland,62099,1132900,0.6507969267865832
16,2016,PL,Agriculture,279330,PL,Poland,62099,1132900,0.20286775974247315
17,2016,PL,Economic Policy,535231,PL,Poland,62099,1132900,0.4418486721622411
18,2016,PL,Government and Politics,1132900,PL,Poland,62099,1132900,1.0
19,2016,PL,Social Development and Protection,294867,PL,Poland,62099,1132900,0.21737745855672527
20,2016,QA,Health,150820,QA,Qatar,24027,363920,0.37303798548366696
21,2016,QA,Military,354839,QA,Qatar,24027,363920,0.9732827684006438
22,2016,QA,Religion,263751,QA,Qatar,24027,363920,0.7052925479489134
23,2016,QA,Violence,257353,QA,Qatar,24027,363920,0.6864689770015858
24,2016,QA,Education,228114,QA,Qatar,24027,363920,0.6004448458779675
25,2016,QA,Corruption,115089,QA,Qatar,24027,363920,0.26791372579017514
26,2016,QA,Agriculture,101990,QA,Qatar,24027,363920,0.2293751268781646
27,2016,QA,Economic Policy,250858,QA,Qatar,24027,363920,0.6673600221246099
28,2016,QA,Government and Politics,363920,QA,Qatar,24027,363920,1.0
29,2017,MY,Law,156966,MY,Malaysia,27852,383032,0.3635170899262346
30,2017,MY,Health,213682,MY,Malaysia,27852,383032,0.5231995044766033
31,2017,MY,Military,383032,MY,Malaysia,27852,383032,1.0
32,2017,MY,Religion,205307,MY,Malaysia,27852,383032,0.4996199110310265
33,2017,MY,Violence,187048,MY,Malaysia,27852,383032,0.4482121741089025
34,2017,MY,Education,284489,MY,Malaysia,27852,383032,0.7225547609662706
35,2017,MY,Corruption,194717,MY,Malaysia,27852,383032,0.4698040430204404
36,2017,MY,Agriculture,115932,MY,Malaysia,27852,383032,0.2479869362013627
37,2017,MY,Economic Policy,243999,MY,Malaysia,27852,383032,0.6085562250126696
38,2017,MY,Government and Politics,378914,MY,Malaysia,27852,383032,0.9884058787093868
39,2015,AG,Law,80200,AG,Algeria,16741,300673,0.22350069735006975
40,2015,AG,Health,103576,AG,Algeria,16741,300673,0.3058302692193906
41,2015,AG,Military,300673,AG,Algeria,16741,300673,1.0
42,2015,AG,Religion,196916,AG,Algeria,16741,300673,0.6345709536086105
43,2015,AG,Violence,227233,AG,Algeria,16741,300673,0.7413465195891974
44,2015,AG,Education,182420,AG,Algeria,16741,300673,0.5835164757758899
45,2015,AG,Corruption,82120,AG,Algeria,16741,300673,0.23026287984446978
46,2015,AG,Agriculture,81520,AG,Algeria,16741,300673,0.22814969781496977
47,2015,AG,Economic Policy,151950,AG,Algeria,16741,300673,0.4762020483777806
48,2015,AG,Government and Politics,283677,AG,Algeria,16741,300673,0.9401405970443627
49,2018,SZ,Law,323242,SZ,Switzerland,87640,1006951,0.2562810626654092
50,2018,SZ,Health,609957,SZ,Switzerland,87640,1006951,0.5681613730282787
51,2018,SZ,Military,730624,SZ,Switzerland,87640,1006951,0.6994194565277692
52,2018,SZ,Religion,306673,SZ,Switzerland,87640,1006951,0.2382577821868769
