event_year,flattened_locations,category,count
2016,AE,Law,132742
2016,PL,Law,292332
2016,GY,Law,13930
2017,GZ,Law,51551
2016,QA,Law,79671
2017,MY,Law,156966
2015,AG,Law,80200
2015,JM,Law,24567
2016,ET,Law,46143
2017,LI,Law,18240
2019,AC,Law,2273
2016,MP,Law,112651
2018,SZ,Law,323242
2018,GM,Law,1160133
2015,VE,Law,353599
2017,HO,Law,65492
2019,SF,Law,85781
2018,SE,Law,6604
2016,AY,Law,7039
2019,GJ,Law,3127
2015,NF,Law,334
2015,SV,Law,504
2015,UF,Law,34
2017,NU,Law,37347
2016,HR,Law,91069
2017,UV,Law,50463
2019,AR,Law,151983
2015,MY,Law,146036
2019,RE,Law,11175
2015,MR,Law,18312
2017,TI,Law,15238
2017,TD,Law,18357
2016,SB,Law,144
2018,KR,Law,1189
2019,LQ,Law,2
2017,RO,Law,475690
2017,YM,Law,233840
2016,AM,Law,102198
2017,SF,Law,165330
2015,RI,Law,67836
2018,ST,Law,2598
2017,KG,Law,38808
2016,CS,Law,17777
2016,WS,Law,5403
2018,NH,Law,2073
2015,GQ,Law,8737
2019,NS,Law,2275
2016,SH,Law,514
2019,NF,Law,51
2019,BS,Law,4
2017,BQ,Law,3
2017,SO,Law,189963
2015,KS,Law,187091
2017,AE,Law,136666
2017,CN,Law,1757
2019,BO,Law,54221
2015,KV,Law,32812
2018,ES,Law,81136
2016,UY,Law,63164
2019,SN,Law,60029
2018,BN,Law,10385
2015,MZ,Law,13088
2019,GI,Law,11192
2015,NH,Law,3211
2018,TP,Law,768
2017,TL,Law,238
2019,PG,Law,141
2017,IO,Law,25
2018,CA,Law,768453
2015,FR,Law,1163881
2018,RO,Law,351229
2016,IZ,Law,543750
2017,VT,Law,13437
2016,TH,Law,222523
2016,LS,Law,8399
2019,ZI,Law,37179
2015,SI,Law,33824
2019,MK,Law,36159
2018,ML,Law,41651
2016,AV,Law,616
2019,AV,Law,850
2016,IP,Law,5
2016,AS,Law,972453
2015,LG,Law,41332
2016,PA,Law,61009
2019,NP,Law,12499
2018,VI,Law,4708
2016,AC,Law,5139
2019,DJ,Law,4914
2017,TN,Law,2568
2018,IM,Law,270
2018,FQ,Law,1
2019,UK,Law,1126360
2015,US,Law,6479209
2016,RS,Law,1526226
2015,SP,Law,666137
2018,PO,Law,138975
2018,CD,Law,48988
2016,BK,Law,48135
2015,AF,Law,209078
2015,BC,Law,6484
2019,UY,Law,26172
2015,PP,Law,10596
2019,DR,Law,17875
2016,BD,Law,9328
2016,TL,Law,179
2017,LU,Law,53428
2015,RB,Law,74724
2016,IC,Law,52575
2019,EC,Law,69495
2017,KZ,Law,64814
2015,YM,Law,91381
2017,BX,Law,23586
2019,LA,Law,5620
2017,SL,Law,12783
2016,MH,Law,3900
2017,US,Law,8705542
2016,TU,Law,1504311
2018,PM,Law,84662
2015,TS,Law,103415
2017,ZI,Law,72092
2017,MR,Law,17422
2016,KN,Law,111402
2016,UG,Law,58159
2018,GV,Law,20541
2019,GH,Law,30228
2017,FO,Law,10212
2016,TK,Law,6469
2017,SY,Law,767665
2019,IR,Law,214722
2015,BR,Law,465691
2017,GB,Law,10970
2019,KZ,Law,29374
2017,UZ,Law,65545
2016,MN,Law,14410
2015,MI,Law,9539
2016,NP,Law,35010
2018,VT,Law,17616
2018,KQ,Law,6
2018,RS,Law,2036126
2018,LI,Law,13016
2019,MC,Law,20744
2015,BO,Law,92593
2016,CB,Law,55463
2019,AL,Law,34263
2015,UG,Law,34350
2016,GB,Law,15923
2015,BT,Law,2125
2018,MI,Law,7194
2016,KR,Law,1965
2018,RN,Law,1122
2019,CK,Law,1
2018,MR,Law,11047
2019,CO,Law,131046
2017,LA,Law,13876
2015,GG,Law,24432
2016,CG,Law,19310
2019,BL,Law,41701
2018,PF,Law,187
2019,WI,Law,859
2019,GB,Law,3057
2018,SV,Law,685
2015,FP,Law,1547
2019,RN,Law,410
2015,NT,Law,336
2016,EI,Law,216239
2017,NZ,Law,110851
2017,TW,Law,179852
2019,AE,Law,67040
2015,CM,Law,30175
2017,RW,Law,35162
2018,MC,Law,17225
2018,WI,Law,1553
2016,NT,Law,132
2015,CR,Law,1
2017,CE,Law,44725
2015,SL,Law,14762
2015,KT,Law,4247
2015,BB,Law,7290
2015,MF,Law,1155
2016,WI,Law,3102
2018,CN,Law,2363
2018,CW,Law,1089
2016,TV,Law,507
2018,KT,Law,722
2018,BV,Law,5
2016,IT,Law,1005064
2019,SA,Law,131791
2015,EK,Law,3581
2016,BB,Law,8829
2015,BH,Law,12899
2016,MB,Law,7354
2019,MF,Law,672
2019,AA,Law,1668
2018,BR,Law,547777
2018,RW,Law,34251
2015,AE,Law,76541
2016,YM,Law,116453
2016,WE,Law,108091
2019,HA,Law,18114
2019,CD,Law,16396
2019,IC,Law,9919
2015,SM,Law,1455
2019,CT,Law,4043
2018,NS,Law,2721
2015,FO,Law,527
2019,SM,Law,932
2019,MU,Law,28696
2015,LO,Law,32758
2019,TZ,Law,11270
2018,AO,Law,38774
2018,UV,Law,57477
2019,GP,Law,8416
2017,WI,Law,2559
2016,IO,Law,51
2016,BR,Law,794553
2016,NZ,Law,132497
2015,KZ,Law,45955
2019,GR,Law,156744
2017,NG,Law,23963
2015,ET,Law,36166
2018,MY,Law,126127
2015,IR,Law,313346
2019,LO,Law,23108
2018,SO,Law,54806
2019,VQ,Law,5210
2019,AO,Law,11805
2019,TT,Law,1905
2015,AV,Law,557
2018,BP,Law,1070
2019,KQ,Law,4
2016,KQ,Law,1
2016,TW,Law,244206
2018,BM,Law,47124
2017,AL,Law,117762
2017,SG,Law,57347
2018,UZ,Law,26250
2016,KZ,Law,60665
2015,HR,Law,69010
2016,GJ,Law,8221
2015,MJ,Law,14932
2016,CQ,Law,2196
2016,MF,Law,1571
2016,FG,Law,1410
2017,BR,Law,759091
2016,UP,Law,915535
2015,IN,Law,437256
2018,CY,Law,68783
2015,PL,Law,193120
2017,WS,Law,4013
2016,LH,Law,79097
2018,UY,Law,48173
2016,LA,Law,23832
2018,PU,Law,2149
2017,ER,Law,14410
2017,RE,Law,21057
2019,FJ,Law,7133
2015,GJ,Law,3687
2017,HQ,Law,77
2019,MX,Law,541805
2016,IN,Law,652984
2015,IT,Law,680454
2018,IS,Law,594871
2017,NO,Law,143780
2018,DO,Law,9922
2015,EC,Law,74654
2016,MO,Law,196715
2019,WA,Law,5026
2017,LO,Law,45852
2018,CU,Law,95124
2016,PP,Law,18993
2019,MG,Law,13074
2019,GQ,Law,5487
2019,SL,Law,4572
2019,ST,Law,966
2019,JQ,Law,9
2016,CF,Law,46875
2017,IZ,Law,504258
2015,TP,Law,613
2018,MO,Law,106546
2015,PK,Law,212473
2017,ES,Law,64134
2018,AN,Law,6854
2016,CN,Law,2899
2016,IM,Law,161
2015,LQ,Law,14
2017,JQ,Law,8
2016,DQ,Law,1
2015,TE,Law,1
2018,EG,Law,360840
2016,LY,Law,167626
2016,MC,Law,20446
2017,NL,Law,296060
2019,AJ,Law,23935
2015,AC,Law,4432
2019,CI,Law,74439
2019,RI,Law,33389
2018,NP,Law,21671
2019,PK,Law,118418
2016,GZ,Law,33541
2016,YI,Law,12508
2015,CF,Law,33844
2019,YI,Law,3217
2015,PU,Law,3917
2019,TV,Law,585
2018,SC,Law,86
2018,SY,Law,440897
2019,BR,Law,315992
2017,SW,Law,538484
2019,KS,Law,180608
2015,JA,Law,262617
2016,CU,Law,187738
2018,BK,Law,27469
2015,TW,Law,116251
2016,SN,Law,123014
2015,MT,Law,21964
2018,FG,Law,350
2018,LS,Law,4104
2019,EK,Law,2435
2019,TD,Law,8961
2019,JE,Law,33622
2018,MV,Law,19511
2016,BN,Law,18982
2019,RP,Law,68882
2019,CG,Law,6713
2015,DJ,Law,12095
2016,BV,Law,4
